practices,social,study vs product,system perception,system use,value judgements
when (4),name (1),reorder (2),basically (2),definitely (5),consuming (3)
spaghetti (4),researcher (1),crazy (2),experience (2),convenient (5),process (3)
indulgence (4),useful (1),knowing (2),assuming (2),imagine (5),information (3)
rice (4),shops (1),london (2),ha (2),easier (5),interesting (3)
hard (3),multiple (1),whatever (2),preferences (2),soon (5),emails (3)
month (3),find (1),markets (2),preference (2),name (5),amazing (3)
whatever (3),bothered (1),goes (2),weigh (2),working (5),option (3)
gone (3),finished (1),every (2),even (2),g (5),environment (3)
desk (3),offered (1),start (2),interesting (2),already (5),period (3)
type (3),housemates (1),usually (2),future (2),fruit (5),take (3)
keep (3),diets (1),big (2),using (2),moment (5),place (3)
to (3),explain (1),month (2),little (2),error (5),this (3)
snack (3),eat (1),free (2),called (2),manual (5),moment (3)
amount (3),little (1),best (2),study (2),stock (5),god (3)
whenever (3),app (1),pretty (2),havent (2),automatic (5),based (3)
fruits (3),showed (1),question (2),cereal (2),potatoes (5),weight (3)
waitrose (3),graph (1),example (2),ones (2),which (4),rather (3)
cooking (3),are (1),tomorrow (2),play (2),certain (4),getting (3)
figure (3),limitations (1),front (2),try (2),later (4),annoying (3)
six (3),cost (1),abel (2),came (2),around (4),clementines (3)
ingredients (3),fact (1),placed (2),nuts (2),taking (4),often (3)
add (3),describing (1),fruits (2),apart (2),useful (4),overall (3)
extra (3),fridges (1),cole (2),options (2),cool (4),on (3)
sent (3),groceries (1),bought (2),box (2),crazy (4),checked (3)
still (3),talk (1),nine (2),email (2),started (4),weeks (3)
gets (3),delivers (1),initial (2),morning (2),bad (4),especially (3)
local (3),text (1),budget (2),hour (2),big (4),let (3)
basis (3),fridge (1),small (2),mind (2),part (4),actual (3)
set (3),phrase (1),lets (2),satisfied (2),seeing (4),empty (3)
cold (3),automated (1),tend (2),check (2),messages (4),occasion (3)
alternative (3),kids (1),heavy (2),stop (2),guys (4),pick (3)
find (3),help (1),house (2),engaged (2),twice (4),send (3)
basic (3),earlier (1),kilogram (2),longer (2),lazy (4),arrived (3)
consuming (3),there (1),a (2),stock (2),cupboard (4),hadnt (3)
end (3),playing (1),whats (2),also (2),cooking (4),meant (3)
specific (3),site (1),interesting (2),connected (2),extra (4),top (3)
ocado (3),showing (1),this (2),forgot (2),sent (4),cancel (3)
question (3),couple (1),someone (2),router (2),mind (4),sending (3)
without (3),working (1),ordered (2),very (2),example (4),told (3)
sainsburys (3),equipment (1),that (2),critical (2),question (4),cancelled (3)
ten (3),terms (1),fine (2),expectation (2),hours (4),whereas (3)
minutes (3),cleaner (1),supermarket (2),magical (2),potentially (4),today (3)
means (3),cleaning (1),seems (2),empty (2),person (4),whole (3)
purpose (3),area (1),ideal (2),explained (2),basically (4),stop (3)
area (3),easily (1),sometimes (2),manually (2),means (4),able (3)
period (3),were (1),away (2),replenished (1),specific (4),automatically (3)
mum (3),question (1),feel (2),specified (1),appealing (4),important (3)
wanted (3),allowed (1),gone (2),redelivered (1),find (4),attention (3)
guy (3),touch (1),extra (2),later (1),within (4),pay (3)
late (3),reasonsbecause (1),people (2),friendly (1),kids (4),saw (3)
evening (3),pull (1),number (2),environmentally (1),house (4),sunday (3)
working (3),keen (1),meant (2),quickest (1),understand (4),friday (3)
told (3),decades (1),couriered (2),useful (1),done (4),week (3)
lets (3),weight (1),gave (2),communication (1),top (4),now (3)
regular (3),reasons (1),happy (2),knows (1),suppose (4),confirmation (3)
dinner (3),technology (1),buy (2),back (1),kept (4),nothing (3)
tuesday (3),part (1),makes (2),hey (1),cancelled (4),yesterday (3)
course (3),understanding (1),cheaper (2),communicating (1),anyway (4),done (3)
ahead (3),better (1),add (2),server (1),rather (4),expected (3)
occasion (3),studies (1),couldnt (2),part (1),box (4),longer (3)
pick (3),spend (1),tough (2),open (1),couldnt (4),saturday (3)
morning (3),weeksmonthsyears (1),carrier (2),involvement (1),used (4),trigger (3)
loaf (3),depth (1),ways (2),intervened (1),longer (4),control (3)
regularly (3),systems (1),either (2),agent (1),quick (4),onion (3)
found (3),women (1),somebody (2),decisions (1),higher (4),oil (3)
text (3),towell (1),ultimately (2),wrong (1),saw (4),apart (3)
wholewheat (3),done (1),moment (2),supermarkets (1),wheat (4),brand (3)
path (3),found (1),tech (2),porsche (1),computer (4),back (3)
looking (3),scales (1),yeah (2),instinctively (1),enjoyed (4),sweet (3)
sit (3),inaudible (1),looking (2),dreams (1),whats (4),specific (3)
friends (3),three (1),us (2),ever (1),hour (4),jar (3)
done (3),biscuits (1),taken (2),suppliers (1),saturday (4),oats (3)
shape (3),for (1),sitting (2),sign (1),course (4),potatoes (3)
ordering (3),highest (1),can (2),real (1),busy (4),error (3)
hour (3),automation (1),pay (2),late (1),straight (4),embarrassed (2)
onions (3),particular (1),handy (2),humans (1),beans (4),packet (2)
tacos (3),oclock (1),recycling (2),just (1),noticed (4),hes (2)
wonder (3),hour (1),running (2),delivering (1),brown (4),that (2)
last (3),change (1),prices (2),pissed (1),indulgence (4),guy (2)
please (3),mind (1),normal (2),robot (1),oats (4),punnet (2)
lives (3),add (1),part (2),traffic (1),checked (4),tomorrow (2)
weight (3),called (1),needed (2),goods (1),accurate (4),bad (2)
takes (3),therell (1),hour (2),consume (1),quality (4),less (2)
accurate (3),couriers (1),werent (2),spend (1),whole (3),new (2)
sweet (3),laterish (1),chose (2),basis (1),havent (3),buying (2)
roughly (2),days (1),hovis (2),weekly (1),packet (3),ones (2)
tins (2),packaging (1),cut (2),whenever (1),ran (3),flatmate (2)
accessible (2),weve (1),knew (2),preagreed (1),telling (3),away (2)
many (2),concealed (1),society (2),leave (1),beginning (3),guys (2)
nothing (2),goods (1),friends (2),sundays (1),seemed (3),except (2)
there (2),accepted (1),text (2),meat (1),mentioned (3),neighbour (2)
sticks (2),anyway (1),concierge (2),kit (1),tomorrow (3),building (2)
carrot (2),rang (1),packaging (2),wake (1),five (3),desk (2)
constantly (2),beforehand (1),expecting (2),home (1),hard (3),cool (2)
wrong (2),issued (1),goods (2),weekends (1),wrong (3),minimum (2)
everything (2),true (1),oil (2),saturdays (1),hey (3),five (2)
involved (2),website (1),kids (2),example (1),weekend (3),knowing (2)
far (2),easier (1),coffee (2),gym (1),information (3),barley (2)
wants (2),earth (1),beans (2),close (1),product (3),tried (2)
twice (2),saturday (1),containers (2),relied (1),exactly (3),month (2)
worry (2),tv (1),triggered (2),mentioned (1),eating (3),food (2)
reason (2),knocks (1),parameters (2),sustainability (1),reason (3),best (2)
habits (2),unexpected (1),loved (2),drag (1),figure (3),using (2)
shops (2),watching (1),cross (2),family (1),shops (3),question (2)
then (2),totally (1),thought (2),scream (1),add (3),whether (2)
cooked (2),obvious (1),internet (2),asking (1),cooked (3),complain (2)
theyve (2),directly (1),telling (2),kinder (1),taste (3),unclear (2)
countryside (2),figure (1),rice (2),place (1),least (3),house (2)
live (2),concerns (1),come (2),surprise (1),favourite (3),leave (2)
spinach (2),sent (1),experiment (2),fuss (1),cheese (3),for (2)
huge (2),moved (1),version (1),crying (1),a (3),substitute (2)
forget (2),amazon (1),when (1),parents (1),brand (3),basically (2)
markets (2),horrors (1),havent (1),advance (1),totally (3),battery (2)
goes (2),dhl (1),prototype (1),handy (1),just (3),long (2)
hes (2),alison (1),early (1),iphone (1),portion (3),essentially (2)
yesterday (2),near (1),large (1),purpose (1),best (3),least (2)
based (2),pass (1),abandon (1),superfluous (1),high (3),means (2)
availability (2),as (1),reckless (1),clearly (1),ask (3),options (2)
