practices,social,study vs product,system perception,system use,value judgements
markets (6),inaudible (2),quantities (3),fact (3),try (21),kept (3)
came (6),half (2),last (3),check (3),trigger (21),cancelling (3)
kids (6),particular (2),comes (3),happen (3),looking (21),looked (3)
routine (6),in (2),using (3),orders (3),manual (21),bag (3)
basically (6),expecting (2),guys (3),control (3),usually (20),night (3)
feel (6),unclear (2),went (3),engaged (3),terms (20),thursday (3)
loads (6),note (2),else (3),longer (3),done (20),now (3)
front (6),obvious (2),reordered (3),also (3),price (20),nothing (3)
interesting (6),lots (2),automatically (3),us (3),noticed (20),confirmation (3)
whereas (6),possibly (2),product (3),router (3),around (19),expected (3)
place (6),around (2),made (3),whole (3),information (19),generally (3)
saying (6),look (2),whatever (3),jar (3),lets (19),we (3)
lets (6),busy (2),markets (3),information (3),cancel (19),longer (3)
box (6),whats (2),nice (3),view (3),suppose (19),three (3)
lemons (6),happens (2),every (3),chosen (2),somebody (19),level (3)
makes (6),harder (2),almost (3),depending (2),oil (19),satisfied (3)
whole (6),oils (2),expensive (3),quickest (2),take (19),trigger (3)
whether (6),exactly (2),yesterday (3),friendly (2),nuts (19),whats (3)
tacos (6),plans (2),big (3),environmentally (2),give (19),needed (3)
penne (6),red (2),month (3),reordered (2),wrong (18),oil (3)
when (6),flat (2),liked (3),involvement (2),gone (18),took (3)
hard (5),open (2),best (3),open (2),reason (18),onion (3)
weeks (5),hard (2),example (3),intervened (2),supermarket (18),sense (3)
trying (5),guilt (2),overtalking (3),trusted (2),totally (18),use (3)
definitely (5),silly (2),deliver (3),waitrose (2),number (18),part (3)
waitrose (5),type (2),ate (3),eating (2),definitely (18),make (3)
comes (5),feel (2),heavy (3),groceries (2),emails (18),saw (3)
involved (5),also (2),inconvenient (3),humans (2),option (18),see (3)
depends (5),ways (2),courier (3),just (2),weve (18),interface (3)
cooking (5),amazing (2),delivered (3),late (2),anyway (18),jar (3)
extra (5),tend (2),someone (3),pissed (2),checked (18),helpful (3)
still (5),end (2),that (3),delivering (2),data (18),packet (2)
season (5),daniel (2),life (3),robot (2),low (17),embarrassed (2)
away (5),second (2),ideal (3),traffic (2),away (17),taking (2)
live (5),went (2),sometimes (3),delivers (2),happen (17),hes (2)
huge (5),monday (2),feel (3),for (2),liked (17),item (2)
family (5),sunday (2),away (3),breakfast (2),instead (17),sometimes (2)
terms (5),pot (2),side (3),fresh (2),imagine (17),punnet (2)
consuming (5),sort (2),people (3),bought (2),tomatoes (16),quantities (2)
without (5),point (2),information (3),crazy (2),new (16),halfway (2)
minutes (5),issues (2),gave (3),products (2),big (16),seemed (2)
instead (5),checked (2),wanted (3),happy (2),twice (16),bad (2)
normal (5),received (2),couldnt (3),lets (2),exactly (16),theyre (2)
scales (5),send (2),wait (3),told (2),just (16),ones (2)
door (5),dates (2),visually (3),needs (2),weird (16),unclear (2)
wanted (5),ashamed (1),weve (3),three (2),person (16),hours (2)
money (5),wherever (1),us (3),theyll (2),texts (16),long (2)
which (5),taking (1),orders (3),buy (2),thank (16),means (2)
thinking (5),bringing (1),pay (3),regular (2),later (15),find (2)
told (5),neighbours (1),running (3),meals (2),felt (15),least (2)
mentioned (5),sometimes (1),prices (3),plan (2),crazy (15),options (2)
three (5),ecofriendly (1),walk (3),next (2),deliver (15),period (2)
meals (5),concern (1),website (3),course (2),bought (15),someone (2)
problem (5),that (1),city (3),online (2),received (15),house (2)
online (5),except (1),society (3),scale (2),door (15),future (2)
better (5),seeing (1),live (3),processed (2),someone (15),drive (2)
idea (5),paris (1),text (3),runs (2),important (15),element (2)
busy (5),guys (1),plan (3),rather (2),example (15),wholl (2)
pick (5),away (1),notice (3),delivered (2),though (15),christmas (2)
already (5),overseas (1),anything (3),getting (2),deliveries (15),short (2)
suppose (5),contact (1),six (3),doesnt (2),help (15),reason (2)
regularly (5),neither (1),even (3),clementines (2),without (15),promotional (2)
found (5),whichever (1),we (3),overall (2),g (15),ten (2)
cereals (5),problem (1),kids (3),except (2),manually (15),late (2)
biscuits (5),building (1),thought (3),half (2),computer (15),showed (2)
ordering (5),which (1),stock (3),sent (2),control (15),cold (2)
notice (5),goes (1),manual (3),picked (2),reordered (14),almost (2)
walk (5),housemate (1),suggest (3),arrived (2),telling (14),making (2)
tell (5),passes (1),experiment (3),assume (2),ones (14),moment (2)
roast (5),nice (1),neighbourhood (3),anyway (2),inaudible (14),basically (2)
sweet (5),he (1),individual (3),bag (2),was (14),remember (2)
month (4),every (1),perishable (2),must (2),part (14),based (2)
gone (4),markets (1),weight (2),sending (2),open (14),automated (2)
wait (4),almost (1),head (2),signal (2),add (14),six (2)
snack (4),start (1),cupboard (2),talk (2),checking (14),emails (2)
whenever (4),promised (1),dry (2),lose (2),basically (14),sure (2)
supermarkets (4),buying (1),doesnt (2),nothing (2),this (14),otherwise (2)
cupboard (4),organic (1),eating (2),relationship (2),told (14),annoying (2)
figure (4),currently (1),groceries (2),fruit (2),box (14),often (2)
look (4),local (1),punnet (2),breach (2),rather (14),completely (2)
ingredients (4),yesterday (1),tomatoes (2),relevant (2),bowl (14),clementines (2)
moment (4),spinach (1),driver (2),resarcher (2),either (14),received (2)
countryside (4),big (1),tiny (2),job (2),tried (14),on (2)
expensive (4),argue (1),concern (2),cancel (2),many (14),four (2)
spend (4),texts (1),kitchen (2),sends (2),online (14),past (2)
find (4),understand (1),environment (2),arrives (2),havent (13),weeks (2)
alternative (4),surprised (1),envisage (2),courier (2),whole (13),especially (2)
basic (4),although (1),installed (2),basically (2),item (13),great (2)
potentially (4),flatmates (1),slot (2),experience (2),useful (13),even (2)
specific (4),name (1),truck (2),assuming (2),small (13),makes (2)
question (4),messaged (1),everyone (2),ha (2),started (13),keeping (2)
sorry (4),researcher (1),reorder (2),preferences (2),bad (13),problems (2)
back (4),find (1),knowing (2),preference (2),less (13),arrived (2)
for (4),multiple (1),london (2),we (2),product (13),g (2)
ten (4),bothered (1),crazy (2),weigh (2),doesnt (13),stack (2)
