practices,social,study vs product,system perception,system use,value judgements
clementines (1),,that (1),better (1),weve (8),pay (3)
snack (1),,see (1),inconvenient (1),ten (8),seemed (3)
desk (1),,first (1),addressed (1),gone (8),type (3)
bag (1),,price (1),app (1),hour (8),ivyes (3)
hummus (1),,property (1),mentioned (1),kept (8),laptop (3)
intervened (1),,corner (1),behind (1),twice (8),coming (3)
far (1),,side (1),,imagine (8),preferences (3)
wants (1),,right (1),,messages (8),werent (3)
somehow (1),,specific (1),,take (8),longer (3)
avocados (1),,necessarily (1),,keep (8),nuts (3)
as (1),,individual (1),,terms (8),responsibility (3)
large (1),,lacking (1),,send (8),already (3)
swapping (1),,early (1),,basically (8),compare (3)
amounts (1),,current (1),,cancel (8),autonomy (3)
not (1),,perhaps (1),,ever (8),level (3)
small (1),,testing (1),,option (8),choose (3)
forget (1),,stand (1),,trigger (8),knew (3)
habit (1),,thought (1),,totally (8),three (3)
towards (1),,practically (1),,triggered (8),packet (3)
humans (1),,lots (1),,glitch (8),explain (3)
machines (1),,stage (1),,yesterday (8),works (3)
interacting (1),,form (1),,trial (7),half (3)
moving (1),,recognise (1),,making (7),ivokay (3)
strict (1),,else (1),,level (7),particular (3)
lifestyle (1),,fit (1),,was (7),consumption (3)
generally (1),,if (1),,door (7),in (3)
white (1),,stay (1),,looks (7),approach (3)
ask (1),,initially (1),,mind (7),glitch (3)
forgot (1),,order (1),,just (7),option (3)
takes (1),,terms (1),,person (7),plan (3)
confirm (1),,ambitious (1),,years (7),ended (3)
tells (1),,weighing (1),,for (7),scale (3)
depot (1),,higher (1),,aware (7),cook (3)
sorry (1),,limit (1),,were (7),cookies (3)
places (1),,better (1),,bought (7),tea (3)
without (1),,quantity (1),,explain (7),consuming (3)
specific (1),,consume (1),,though (7),consider (3)
for (1),,rather (1),,problem (7),sorry (2)
hours (1),,instead (1),,six (7),agent (2)
long (1),,try (1),,app (7),salad (2)
spend (1),,spaghetti (1),,away (7),theyre (2)
money (1),,okay (1),,local (7),spend (2)
circumstances (1),,used (1),,pay (7),sure (2)
icecream (1),,theres (1),,happen (7),personal (2)
past (1),,manual (1),,eating (7),morning (2)
remember (1),,week (1),,wondering (7),daily (2)
growing (1),,saying (1),,useful (7),early (2)
share (1),,consumed (1),,read (7),worry (2)
separately (1),,cupboards (1),,bowl (7),towards (2)
kinds (1),,fridges (1),,rather (7),great (2)
expenses (1),,come (1),,cancelled (7),boxes (2)
funny (1),,sophisticated (1),,stop (7),devices (2)
virgin (1),,,,researcher (7),happy (2)
wholl (1),,,,date (7),long (2)
door (1),,,,biscuits (7),if (2)
processed (1),,,,slot (7),bad (2)
purpose (1),,,,top (7),havent (2)
deliver (1),,,,felt (7),big (2)
element (1),,,,manually (7),hours (2)
which (1),,,,stock (7),door (2)
essence (1),,,,oats (7),substitute (2)
analyse (1),,,,open (6),high (2)
companies (1),,,,pasta (6),priority (2)
wasting (1),,,,forget (6),your (2)
means (1),,,,try (6),generally (2)
improvise (1),,,,house (6),ever (2)
clearly (1),,,,monitoring (6),have (2)
plans (1),,,,start (6),mmm (2)
course (1),,,,asked (6),battery (2)
designed (1),,,,ago (6),paying (2)
fruits (1),,,,th (6),else (2)
shorter (1),,,,small (6),interface (2)
exactly (1),,,,hours (6),computer (2)
vegetables (1),,,,told (6),white (2)
market (1),,,,buying (6),god (2)
amazingly (1),,,,available (6),house (2)
milk (1),,,,anyway (6),convenience (2)
tea (1),,,,works (6),register (2)
orange (1),,,,someone (6),fact (2)
water (1),,,,supposed (6),although (2)
juice (1),,,,doesnt (6),interview (2)
google (1),,,,talking (6),keeping (2)
rain (1),,,,minus (6),machine (2)
umbrella (1),,,,g (6),maximum (2)
replying (1),,,,interested (6),amount (2)
appears (1),,,,regularly (6),life (2)
spent (1),,,,ones (6),full (2)
spending (1),,,,to (6),told (2)
every (1),,,,low (6),whether (2)
apple (1),,,,must (6),crazy (2)
app (1),,,,supermarket (6),bother (2)
amazing (1),,,,often (6),paper (2)
narrow (1),,,,within (6),bags (2)
sweets (1),,,,half (6),with (2)
